etapa,ano,linhas,detalhe
resultados_brutos_lidos,2022,3476105,DADOS/MICRODADOS_ENEM_2022.csv
resultados_rj_presenca_mt_nota_valida,2022,169524,SG_UF_PROVA == RJ; TP_PRESENCA_MT == 1; NU_NOTA_MT válida
resultados_brutos_lidos,2023,3933955,DADOS/MICRODADOS_ENEM_2023.csv
resultados_rj_presenca_mt_nota_valida,2023,185323,SG_UF_PROVA == RJ; TP_PRESENCA_MT == 1; NU_NOTA_MT válida
resultados_brutos_lidos,2024,4332944,DADOS/RESULTADOS_2024.csv
resultados_rj_presenca_mt_nota_valida,2024,202316,SG_UF_PROVA == RJ; TP_PRESENCA_MT == 1; NU_NOTA_MT válida
perfis_rj_lidos,2022,250890,SG_UF_PROVA == RJ na base de perfil/participantes
perfis_rj_lidos,2023,282296,SG_UF_PROVA == RJ na base de perfil/participantes
perfis_rj_lidos,2024,289397,SG_UF_PROVA == RJ na base de perfil/participantes
modelo_a_treino_2022_2023,2022-2023,283877,Split estratificado; P75 calculado apenas aqui.
modelo_a_teste_2022_2023,2022-2023,70970,Teste interno não usado para definir P75.
agregados_municipais,2022-2024,156,Proporções por NU_ANO + CO_MUNICIPIO_PROVA.
cobertura_agregados_2024,2024,52,Municípios de resultado 2024 com agregado municipal.
modelo_b_treino_2022_2023,2022-2023,354847,Treino temporal; P75 calculado apenas aqui.
modelo_b_teste_externo_2024,2024,202316,Teste externo sem uso em target ou tuning.
