coluna,tipo,valores_na,percentual_na,valores_unicos
TP_ENSINO,float64,420183,75.41,2
CO_MUNICIPIO_ESC,float64,377929,67.83,214
CO_UF_ESC,float64,377929,67.83,24
NO_MUNICIPIO_ESC,str,377929,67.83,213
SG_UF_ESC,str,377929,67.83,24
TP_DEPENDENCIA_ADM_ESC,float64,377929,67.83,4
TP_LOCALIZACAO_ESC,float64,377929,67.83,2
TP_SIT_FUNC_ESC,float64,377929,67.83,4
IN_TREINEIRO,float64,202316,36.31,2
NU_INSCRICAO,float64,202316,36.31,354847
Q001,str,202316,36.31,8
Q002,str,202316,36.31,8
Q003,str,202316,36.31,6
Q004,str,202316,36.31,6
Q005,float64,202316,36.31,20
Q006,str,202316,36.31,17
Q007,str,202316,36.31,4
Q008,str,202316,36.31,5
Q009,str,202316,36.31,5
Q010,str,202316,36.31,5
Q011,str,202316,36.31,5
Q012,str,202316,36.31,5
Q013,str,202316,36.31,5
Q014,str,202316,36.31,5
Q015,str,202316,36.31,5
Q016,str,202316,36.31,5
Q017,str,202316,36.31,5
Q018,str,202316,36.31,2
Q019,str,202316,36.31,5
Q020,str,202316,36.31,2
Q021,str,202316,36.31,2
Q022,str,202316,36.31,5
Q023,str,202316,36.31,2
Q024,str,202316,36.31,5
Q025,str,202316,36.31,2
TP_ANO_CONCLUIU,float64,202316,36.31,18
TP_COR_RACA,float64,202316,36.31,6
TP_ESCOLA,float64,202316,36.31,3
TP_ESTADO_CIVIL,float64,202316,36.31,5
TP_FAIXA_ETARIA,float64,202316,36.31,20
TP_NACIONALIDADE,float64,202316,36.31,5
TP_SEXO,str,202316,36.31,2
TP_ST_CONCLUSAO,float64,202316,36.31,4
NU_NOTA_CH,float64,2379,0.43,4978
NU_NOTA_COMP1,float64,2379,0.43,11
NU_NOTA_COMP2,float64,2379,0.43,10
NU_NOTA_COMP3,float64,2379,0.43,11
NU_NOTA_COMP4,float64,2379,0.43,11
NU_NOTA_COMP5,float64,2379,0.43,11
NU_NOTA_LC,float64,2379,0.43,4594
NU_NOTA_REDACAO,float64,2379,0.43,50
CO_MUNICIPIO_PROVA,Int64,0,0.0,52
CO_UF_PROVA,int64,0,0.0,1
NO_MUNICIPIO_PROVA,str,0,0.0,52
NU_ANO,int64,0,0.0,3
NU_NOTA_CN,float64,0,0.0,4739
NU_NOTA_MT,float64,0,0.0,6157
SG_UF_PROVA,str,0,0.0,1
TP_PRESENCA_CH,int64,0,0.0,3
TP_PRESENCA_CN,int64,0,0.0,1
TP_PRESENCA_LC,int64,0,0.0,3
TP_PRESENCA_MT,int64,0,0.0,1
