NU_ANO,Q006,participantes,nota_mt_media,proporcao_alto
2022,B,34489,500.2393922699991,0.07703905593087651
2022,C,28422,523.6388924072901,0.12363661952009007
2022,D,21851,539.2426067456867,0.16351654386526931
2022,E,14820,556.2046761133603,0.2150472334682861
2022,H,11482,598.1552429890263,0.35316147012715554
2022,G,10780,583.505055658627,0.30612244897959184
2022,F,8721,571.8113977754845,0.2598325880059626
2022,A,5557,487.49195609141617,0.06874212704696779
2022,I,5246,608.5794510102935,0.39172703011818527
2022,Q,4200,678.6650714285714,0.6314285714285715
2022,L,3961,631.797273415804,0.4693259277960111
2022,J,3942,619.3857179096905,0.43556570268899036
2022,M,3822,634.3421768707483,0.49293563579277866
2022,O,3215,655.3821150855365,0.5555209953343702
2022,P,3084,663.9801232166018,0.5804150453955902
2022,K,3029,625.4935292175635,0.4552657642786398
2022,N,2903,641.4909748535997,0.5087840165346194
2023,B,42800,487.2712453271028,0.0877803738317757
2023,C,30235,515.6599900777245,0.1426161733090789
2023,D,22060,535.6138893925657,0.19179510426110608
2023,E,15449,556.4266101365783,0.25619781215612664
2023,G,14657,592.8006890905369,0.3671283345841577
2023,F,9119,573.3885075117886,0.31406952516723324
2023,H,8222,609.1951593286304,0.4269034298224276
2023,A,7560,470.7228571428571,0.08095238095238096
2023,I,5608,620.1450071326676,0.47271754636233954
2023,J,5210,629.3984452975047,0.5067178502879078
2023,Q,4422,695.9802578018996,0.7421981004070556
2023,K,4242,637.9365629420084,0.5485619990570486
2023,O,3429,667.441469816273,0.6398366870807816
2023,N,3346,653.8156604901376,0.5980274955170353
2023,P,3269,680.6373202814316,0.6806362802080147
2023,L,3018,648.2888999337309,0.5689198144466534
2023,M,2677,650.0821068360104,0.5924542398206948
2024,,202316,543.036857193697,0.2238231281757251
