NU_ANO,TP_COR_RACA,participantes,nota_mt_media,proporcao_alto
2022,1.0,84761,585.048622597657,0.3179528320807919
2022,3.0,52675,534.3673488372093,0.16497389653535832
2022,2.0,26744,512.6425029913252,0.10757553096021538
2022,0.0,3157,551.8875831485587,0.220145707950586
2022,4.0,1799,530.8262367982212,0.1623123957754308
2022,5.0,388,500.7868556701031,0.07474226804123711
2023,1.0,90629,586.3790475454877,0.3646514912445244
2023,3.0,58788,527.1971439749609,0.1907872354902361
2023,2.0,31386,500.2724112661696,0.12241126616962977
2023,0.0,2386,556.9531852472758,0.30092204526404026
2023,4.0,1700,529.7233529411765,0.2164705882352941
2023,5.0,434,495.3562211981567,0.12903225806451613
2024,,202316,543.036857193697,0.2238231281757251
