coluna,status,motivo,experimento,tipo_feature
CO_UF_PROVA,removida,Fora da lista de features definida para o experimento.,Modelo A,
NU_ANO,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",Modelo A,
NU_INSCRICAO,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",Modelo A,
NU_NOTA_CH,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",Modelo A,
NU_NOTA_CN,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",Modelo A,
NU_NOTA_COMP1,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",Modelo A,
NU_NOTA_COMP2,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",Modelo A,
NU_NOTA_COMP3,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",Modelo A,
NU_NOTA_COMP4,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",Modelo A,
NU_NOTA_COMP5,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",Modelo A,
NU_NOTA_LC,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",Modelo A,
NU_NOTA_MT,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",Modelo A,
NU_NOTA_REDACAO,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",Modelo A,
SG_UF_PROVA,removida,Fora da lista de features definida para o experimento.,Modelo A,
TP_PRESENCA_CH,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",Modelo A,
TP_PRESENCA_CN,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",Modelo A,
TP_PRESENCA_LC,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",Modelo A,
TP_PRESENCA_MT,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",Modelo A,
target_desempenho_alto_mt,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",Modelo A,
CO_UF_PROVA,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",Modelo B,nao_usada
IN_TREINEIRO,removida,Fora da lista de features definida para o experimento.,Modelo B,nao_usada
NU_ANO,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",Modelo B,nao_usada
NU_INSCRICAO,removida,Fora da lista de features definida para o experimento.,Modelo B,nao_usada
NU_NOTA_CH,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",Modelo B,nao_usada
NU_NOTA_CN,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",Modelo B,nao_usada
NU_NOTA_COMP1,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",Modelo B,nao_usada
NU_NOTA_COMP2,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",Modelo B,nao_usada
