coluna,status,motivo
CO_MUNICIPIO_ESC,usada,Feature permitida no desenho do experimento.
CO_MUNICIPIO_PROVA,usada,Feature permitida no desenho do experimento.
CO_UF_ESC,usada,Feature permitida no desenho do experimento.
CO_UF_PROVA,removida,Fora da lista de features definida para o experimento.
IN_TREINEIRO,usada,Feature permitida no desenho do experimento.
NO_MUNICIPIO_ESC,usada,Feature permitida no desenho do experimento.
NO_MUNICIPIO_PROVA,usada,Feature permitida no desenho do experimento.
NU_ANO,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador."
NU_INSCRICAO,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador."
NU_NOTA_CH,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador."
NU_NOTA_CN,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador."
NU_NOTA_COMP1,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador."
NU_NOTA_COMP2,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador."
NU_NOTA_COMP3,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador."
NU_NOTA_COMP4,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador."
NU_NOTA_COMP5,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador."
NU_NOTA_LC,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador."
NU_NOTA_MT,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador."
NU_NOTA_REDACAO,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador."
Q001,usada,Feature permitida no desenho do experimento.
Q002,usada,Feature permitida no desenho do experimento.
Q003,usada,Feature permitida no desenho do experimento.
Q004,usada,Feature permitida no desenho do experimento.
Q005,usada,Feature permitida no desenho do experimento.
Q006,usada,Feature permitida no desenho do experimento.
Q007,usada,Feature permitida no desenho do experimento.
Q008,usada,Feature permitida no desenho do experimento.
Q009,usada,Feature permitida no desenho do experimento.
Q010,usada,Feature permitida no desenho do experimento.
Q011,usada,Feature permitida no desenho do experimento.
Q012,usada,Feature permitida no desenho do experimento.
Q013,usada,Feature permitida no desenho do experimento.
Q014,usada,Feature permitida no desenho do experimento.
Q015,usada,Feature permitida no desenho do experimento.
Q016,usada,Feature permitida no desenho do experimento.
Q017,usada,Feature permitida no desenho do experimento.
Q018,usada,Feature permitida no desenho do experimento.
Q019,usada,Feature permitida no desenho do experimento.
Q020,usada,Feature permitida no desenho do experimento.
Q021,usada,Feature permitida no desenho do experimento.
Q022,usada,Feature permitida no desenho do experimento.
Q023,usada,Feature permitida no desenho do experimento.
Q024,usada,Feature permitida no desenho do experimento.
Q025,usada,Feature permitida no desenho do experimento.
SG_UF_ESC,usada,Feature permitida no desenho do experimento.
SG_UF_PROVA,removida,Fora da lista de features definida para o experimento.
TP_ANO_CONCLUIU,usada,Feature permitida no desenho do experimento.
TP_COR_RACA,usada,Feature permitida no desenho do experimento.
TP_DEPENDENCIA_ADM_ESC,usada,Feature permitida no desenho do experimento.
TP_ENSINO,usada,Feature permitida no desenho do experimento.
TP_ESCOLA,usada,Feature permitida no desenho do experimento.
TP_ESTADO_CIVIL,usada,Feature permitida no desenho do experimento.
TP_FAIXA_ETARIA,usada,Feature permitida no desenho do experimento.
TP_LOCALIZACAO_ESC,usada,Feature permitida no desenho do experimento.
TP_NACIONALIDADE,usada,Feature permitida no desenho do experimento.
TP_PRESENCA_CH,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador."
TP_PRESENCA_CN,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador."
TP_PRESENCA_LC,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador."
TP_PRESENCA_MT,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador."
TP_SEXO,usada,Feature permitida no desenho do experimento.
TP_SIT_FUNC_ESC,usada,Feature permitida no desenho do experimento.
TP_ST_CONCLUSAO,usada,Feature permitida no desenho do experimento.
target_desempenho_alto_mt,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador."
