cell_index,function_name,has_docstring,line_count
9,find_enem_files,True,4
10,infer_year_from_name,True,4
11,years_available_locally,True,3
12,download_file,True,20
13,ensure_enem_files_available,True,14
14,list_csv_members,True,4
15,select_csv_member,True,19
16,sniff_delimiter_from_text,True,7
17,read_sample_text,True,4
18,read_header,True,5
19,normalize_numeric,True,5
20,iter_zip_csv_chunks,True,14
21,available_usecols,True,6
22,prepare_score_columns,True,9
26,read_results_for_year,True,34
27,read_profile_for_year,True,31
35,grouped_score_table,True,15
43,build_feature_audit,True,15
47,clean_feature_matrix,True,10
48,make_preprocessor,True,22
49,make_pipeline,True,6
50,safe_roc_auc,True,3
51,get_score,True,7
52,evaluate_classifier,True,15
53,sample_training_data,True,7
54,run_model_suite,True,71
60,save_confusion_matrix,True,21
65,subgroup_error_table,True,14
70,make_municipal_profile_aggregates,True,21
74,municipal_profile_drift,True,18
93,fair_baseline_f1,True,5
96,optimization_benefit,True,16
100,h2_decomposition_experiment,True,29
113,json_ready_records,True,3
121,write_review,True,3
