NU_ANO,CO_MUNICIPIO_PROVA,agg_profile_n,tem_agregado
2024,3304557,116924,True
2024,3302403,5506,True
2024,3306008,2021,True
2024,3303609,851,True
2024,3300100,2609,True
2024,3305109,7142,True
2024,3302205,2726,True
2024,3303401,4405,True
2024,3301009,8560,True
2024,3303708,810,True
2024,3300704,4505,True
2024,3301900,3689,True
2024,3303203,3996,True
2024,3304904,13554,True
2024,3304524,4609,True
2024,3301702,14889,True
2024,3303302,14383,True
2024,3302270,1423,True
2024,3303500,14954,True
2024,3300456,5001,True
2024,3304706,1069,True
2024,3304300,1795,True
2024,3303906,4505,True
2024,3302858,2690,True
2024,3306305,5634,True
2024,3304201,3038,True
2024,3300209,2279,True
2024,3304144,2842,True
2024,3305208,1452,True
2024,3304151,524,True
2024,3305505,1041,True
2024,3304755,604,True
2024,3302007,2239,True
2024,3302700,3419,True
2024,3305802,2406,True
2024,3303005,704,True
2024,3306206,959,True
2024,3302502,3764,True
2024,3300308,1093,True
2024,3302106,1012,True
2024,3306107,1565,True
2024,3300803,945,True
2024,3305554,2505,True
2024,3300407,2738,True
2024,3302908,864,True
2024,3303807,799,True
2024,3301850,701,True
2024,3300605,1258,True
2024,3301876,605,True
2024,3301306,562,True
2024,3304805,688,True
2024,3302601,541,True
