feature,media_2022_2023,media_2024,drift_abs
agg_Q006_A,0.0482,0.7576,0.7094
agg_Q006_C,0.19,0.0,0.19
agg_Q006_D,0.1334,0.0,0.1334
agg_Q006_E,0.0842,0.0,0.0842
agg_Q006_G,0.0643,0.0,0.0643
agg_Q006_F,0.0469,0.0,0.0469
agg_Q006_H,0.0469,0.0,0.0469
agg_TP_ST_CONCLUSAO_1,0.4758,0.4379,0.0379
agg_Q006_B,0.2748,0.2424,0.0324
agg_TP_ST_CONCLUSAO_3,0.1347,0.1631,0.0284
agg_IN_TREINEIRO_0,0.8653,0.8369,0.0284
agg_IN_TREINEIRO_1,0.1347,0.1631,0.0284
agg_Q006_I,0.0236,0.0,0.0236
agg_Q006_J,0.0189,0.0,0.0189
agg_TP_FAIXA_ETARIA_3,0.2438,0.2589,0.015
agg_Q006_K,0.0138,0.0,0.0138
agg_Q006_L,0.0125,0.0,0.0125
agg_TP_ENSINO_NA,0.6308,0.6188,0.012
agg_TP_ENSINO_1.0,0.3668,0.3782,0.0114
agg_Q006_M,0.0107,0.0,0.0107
agg_TP_FAIXA_ETARIA_1,0.0689,0.0794,0.0105
agg_TP_COR_RACA_3,0.3411,0.3508,0.0097
agg_TP_ST_CONCLUSAO_2,0.3869,0.3959,0.009
agg_Q006_N,0.009,0.0,0.009
agg_TP_SEXO_F,0.6375,0.6288,0.0087
agg_TP_SEXO_M,0.3625,0.3712,0.0087
agg_Q006_O,0.0087,0.0,0.0087
agg_TP_FAIXA_ETARIA_2,0.1836,0.1914,0.0078
agg_TP_FAIXA_ETARIA_4,0.1305,0.123,0.0075
agg_Q006_P,0.0071,0.0,0.0071
agg_Q006_Q,0.007,0.0,0.007
agg_TP_FAIXA_ETARIA_5,0.0758,0.0692,0.0067
agg_TP_COR_RACA_0,0.016,0.0101,0.0059
agg_TP_FAIXA_ETARIA_7,0.0358,0.0307,0.0051
agg_TP_FAIXA_ETARIA_8,0.0288,0.024,0.0048
agg_TP_FAIXA_ETARIA_11,0.0554,0.0509,0.0045
agg_TP_FAIXA_ETARIA_6,0.0485,0.0441,0.0044
agg_TP_COR_RACA_4,0.0131,0.0102,0.0029
agg_TP_FAIXA_ETARIA_9,0.022,0.0204,0.0015
agg_TP_FAIXA_ETARIA_10,0.0175,0.0165,0.001
agg_TP_COR_RACA_2,0.1774,0.1767,0.0008
agg_TP_ENSINO_2.0,0.0023,0.0029,0.0006
agg_TP_ST_CONCLUSAO_4,0.0026,0.0031,0.0005
agg_TP_FAIXA_ETARIA_12,0.0274,0.0279,0.0005
agg_TP_FAIXA_ETARIA_14,0.0159,0.0164,0.0004
agg_TP_FAIXA_ETARIA_15,0.0109,0.0113,0.0004
agg_TP_FAIXA_ETARIA_18,0.002,0.0023,0.0003
agg_TP_FAIXA_ETARIA_17,0.0045,0.0046,0.0002
agg_TP_COR_RACA_1,0.4497,0.4496,0.0002
agg_TP_FAIXA_ETARIA_20,0.0003,0.0004,0.0001
agg_TP_FAIXA_ETARIA_16,0.0075,0.0077,0.0001
agg_TP_FAIXA_ETARIA_13,0.02,0.0199,0.0
agg_TP_COR_RACA_5,0.0027,0.0027,0.0
agg_TP_FAIXA_ETARIA_19,0.0009,0.0009,0.0
