cell_index,cell_type,line_count,has_function_definition,has_non_function_execution,mixed_function_and_execution,long_code_cell
0,markdown,6,False,False,False,False
1,markdown,6,False,False,False,False
2,markdown,8,False,False,False,False
3,markdown,10,False,False,False,False
4,markdown,6,False,False,False,False
5,markdown,4,False,False,False,False
6,code,42,False,True,False,False
7,code,57,False,True,False,False
8,markdown,4,False,False,False,False
9,code,5,True,False,False,False
10,code,5,True,False,False,False
11,code,4,True,False,False,False
12,code,21,True,False,False,False
13,code,15,True,False,False,False
14,code,5,True,False,False,False
15,code,20,True,False,False,False
16,code,8,True,False,False,False
17,code,5,True,False,False,False
18,code,6,True,False,False,False
19,code,6,True,False,False,False
20,code,15,True,False,False,False
21,code,7,True,False,False,False
22,code,10,True,False,False,False
23,markdown,4,False,False,False,False
24,code,24,False,True,False,False
25,markdown,6,False,False,False,False
26,code,35,True,False,False,False
27,code,32,True,False,False,False
28,code,37,False,True,False,False
29,markdown,6,False,False,False,False
30,code,61,False,True,False,False
31,markdown,4,False,False,False,False
32,code,39,False,True,False,False
33,markdown,24,False,False,False,False
34,markdown,6,False,False,False,False
35,code,16,True,False,False,False
36,code,39,False,True,False,False
37,markdown,8,False,False,False,False
38,markdown,8,False,False,False,False
39,markdown,4,False,False,False,False
40,markdown,4,False,False,False,False
41,code,40,False,True,False,False
42,markdown,4,False,False,False,False
43,code,16,True,False,False,False
44,code,5,False,True,False,False
45,markdown,1,False,False,False,False
46,markdown,4,False,False,False,False
47,code,11,True,False,False,False
48,code,23,True,False,False,False
49,code,7,True,False,False,False
50,code,4,True,False,False,False
51,code,8,True,False,False,False
52,code,16,True,False,False,False
53,code,8,True,False,False,False
54,code,72,True,False,False,False
55,markdown,4,False,False,False,False
56,code,22,False,True,False,False
57,markdown,5,False,False,False,False
58,code,61,False,True,False,False
59,markdown,4,False,False,False,False
60,code,22,True,False,False,False
61,code,18,False,True,False,False
62,markdown,6,False,False,False,False
63,code,38,False,True,False,False
64,markdown,6,False,False,False,False
65,code,15,True,False,False,False
66,code,26,False,True,False,False
67,markdown,16,False,False,False,False
68,markdown,4,False,False,False,False
69,markdown,4,False,False,False,False
70,code,22,True,False,False,False
71,code,17,False,True,False,False
72,markdown,6,False,False,False,False
73,markdown,8,False,False,False,False
74,code,18,True,False,False,False
75,code,45,False,True,False,False
76,markdown,4,False,False,False,False
77,code,34,False,True,False,False
78,markdown,4,False,False,False,False
79,code,39,False,True,False,False
80,markdown,4,False,False,False,False
81,code,10,False,True,False,False
82,markdown,4,False,False,False,False
83,code,13,False,True,False,False
84,markdown,4,False,False,False,False
85,code,20,False,True,False,False
86,markdown,4,False,False,False,False
87,code,18,False,True,False,False
88,markdown,4,False,False,False,False
89,code,16,False,True,False,False
90,markdown,4,False,False,False,False
91,code,22,False,True,False,False
92,markdown,4,False,False,False,False
93,code,6,True,False,False,False
94,code,32,False,True,False,False
95,markdown,4,False,False,False,False
96,code,17,True,False,False,False
97,code,13,False,True,False,False
98,markdown,9,False,False,False,False
99,markdown,12,False,False,False,False
100,code,29,True,False,False,False
101,code,29,False,True,False,False
102,markdown,5,False,False,False,False
103,code,44,False,True,False,False
104,markdown,4,False,False,False,False
105,code,31,False,True,False,False
106,markdown,7,False,False,False,False
107,markdown,10,False,False,False,False
108,markdown,8,False,False,False,False
109,markdown,19,False,False,False,False
110,markdown,4,False,False,False,False
111,code,21,False,True,False,False
112,markdown,4,False,False,False,False
113,code,4,True,False,False,False
114,code,71,False,True,False,False
115,markdown,4,False,False,False,False
116,code,50,False,True,False,False
117,code,16,False,True,False,False
118,markdown,4,False,False,False,False
119,code,24,False,True,False,False
120,markdown,4,False,False,False,False
121,code,4,True,False,False,False
122,code,80,False,True,False,False
123,code,15,False,True,False,False
124,markdown,4,False,False,False,False
125,code,41,False,True,False,False
126,code,79,False,True,False,False
127,code,26,False,True,False,False
128,markdown,15,False,False,False,False
